Number,Lake or river?,Identity (DO NOT EDIT),Name,Length (if river) (km),Area (km^2),Population,Carrying Cap,Width,Dam Costs,Notes/comments
1,r,r1,MIssissippi/Spawn,426,852,40000,42600,2,100000000,
2,r,r2,MIssissippi1,157,157,0,7850,1,50000000,
3,r,r3,Mississippi2,24,7.2,0,360,0.3,15000000,
4,r,r4,Mississippi3,59.766,17.9298,0,896.49,0.3,15000000,
5,r,r5,Mississippi4,2.98,0.894,0,44.7,0.3,15000000,
6,r,r6,Mississippi5,35.5056,10.65168,0,532.584,0.3,15000000,
7,r,r7,Mississippi6,16,4.8,0,240,0.3,15000000,
8,r,r8,Croix1,163,48.9,0,2445,0.3,15000000,
9,r,r9,Croix2,9,2.7,0,135,0.3,15000000,
10,r,r10,Croix3,89,26.7,0,1335,0.3,15000000,
11,r,r11,Rum,225,45,0,2250,0.2,10000000,
12,l,l12,Mille Lacs,,518.67,0,25933.5,,0,
13,r,r13,Crow,39.9,3.99,0,199.5,0.1,5000000,
14,r,r14,North Crow,253.4,25.34,0,1267,0.1,5000000,
15,r,r15,South Crow,186.7,18.67,0,933.5,0.1,5000000,
16,r,r16,Root,220,22,0,1100,0.1,5000000,
17,r,r17,Cannon,180,18,0,900,0.1,5000000,
18,r,r18,Minnesota1,165.81,16.581,0,829.05,0.1,5000000,
19,r,r19,Minneosta2,11.23,1.123,0,56.15,0.1,5000000,
20,r,r20,Minnesota3,63.96,6.396,0,319.8,0.1,5000000,
21,r,r21,Minnesota4,87.01,8.701,0,435.05,0.1,5000000,
22,r,r22,Minnesota5,26.77,2.677,0,133.85,0.1,5000000,
23,l,l23,Lac que parle,,37.716,0,1885.8,,0,
24,l,l24,Big Stone Lake,,48.166,0,2408.3,,0,
25,r,r25,Redwood,204.5,10.225,0,511.25,0.05,2500000,
26,r,r26,Cottonwood,245.3,12.265,0,613.25,0.05,2500000,
27,l,l27,Swan lake,,40.853,0,2042.65,,0,
